Categoria;Titular;Fuente
Nacional;Caso Silala: Chile dice que no se opone a que Bolivia desmantele los canales en su territorio;https://www.paginasiete.bo/nacional/2022/4/1/caso-silala-chile-dice-que-no-se-opone-que-bolivia-desmantele-los-canales-en-su-territorio-327452.html
Nacional;Diputado Ormachea recuerda que designación del Defensor es por 2/3 y que Nadia Cruz será vetada;https://www.paginasiete.bo/nacional/2022/4/1/diputado-ormachea-recuerda-que-designacion-del-defensor-es-por-23-que-nadia-cruz-sera-vetada-327444.html
Nacional;Chile afirma en La Haya que Bolivia aceptó que el Silala «fluye naturalmente» hacia el país vecino;https://www.paginasiete.bo/nacional/2022/4/1/chile-afirma-en-la-haya-que-bolivia-acepto-que-el-silala-fluye-naturalmente-hacia-el-pais-vecino-327440.html
Nacional;María Galindo llega a la ALP y echa a la basura su postulación a defensora: Esto ya está negociado;https://www.paginasiete.bo/nacional/2022/4/1/maria-galindo-llega-la-alp-echa-la-basura-su-postulacion-defensora-esto-ya-esta-negociado-327441.html
Nacional;Alanoca dice que no se opuso a la condecoración para Arce, sino que observó el procedimiento;https://www.paginasiete.bo/nacional/2022/4/1/alanoca-dice-que-no-se-opuso-la-condecoracion-para-arce-sino-que-observo-el-procedimiento-327439.html
Nacional;Nadia Cruz presenta su postulación al cargo de defensora: El interinato no es un impedimento;https://www.paginasiete.bo/nacional/2022/4/1/nadia-cruz-presenta-su-postulacion-al-cargo-de-defensora-el-interinato-no-es-un-impedimento-327438.html
Nacional;Caso Silala: Bolivia y Chile llegan a la etapa de alegatos con coincidencias;https://www.paginasiete.bo/nacional/2022/4/1/caso-silala-bolivia-chile-llegan-la-etapa-de-alegatos-con-coincidencias-327431.html
Nacional;Bolivia tiene 8 juristas y 3 expertos, Chile 6 abogados y tres especialistas;https://www.paginasiete.bo/nacional/2022/4/1/bolivia-tiene-juristas-expertos-chile-abogados-tres-especialistas-327433.html
Nacional;Silala: Evo rechazó pago de Chile e indujo la demanda en la CIJ;https://www.paginasiete.bo/nacional/2022/4/1/silala-evo-rechazo-pago-de-chile-indujo-la-demanda-en-la-cij-327432.html
Nacional;Hay 65 postulantes a defensor y hoy se cierra la inscripción;https://www.paginasiete.bo/nacional/2022/4/1/hay-65-postulantes-defensor-hoy-se-cierra-la-inscripcion-327430.html
Nacional;"Copa dice que Quintana opera desde Senkata; piden pruebas";https://www.paginasiete.bo/nacional/2022/4/1/copa-dice-que-quintana-opera-desde-senkata-piden-pruebas-327425.html
Nacional;TCP declara nulos los decretos de ascenso de militares firmados por Añez y su gabinete;https://www.paginasiete.bo/nacional/2022/3/31/tcp-declara-nulos-los-decretos-de-ascenso-de-militares-firmados-por-anez-su-gabinete-327382.html
Nacional;"Bolivia rechaza creación de grupo para investigar vulneraciones en Nicaragua; HRW lo condena";https://www.paginasiete.bo/nacional/2022/3/31/bolivia-rechaza-creacion-de-grupo-para-investigar-vulneraciones-en-nicaragua-hrw-lo-condena-327380.html
Nacional;Silala: agente de Chile dice que Bolivia no pide compensación por la «deuda histórica»;https://www.paginasiete.bo/nacional/2022/3/31/silala-agente-de-chile-dice-que-bolivia-no-pide-compensacion-por-la-deuda-historica-327377.html
Nacional;"Caso Silala: Bolivia ultima defensa con equipo jurídico; alegatos orales se abren con aforo reducido";https://www.paginasiete.bo/nacional/2022/3/31/caso-silala-bolivia-ultima-defensa-con-equipo-juridico-alegatos-orales-se-abren-con-aforo-reducido-327374.html
Nacional;Senado niega que Trinidad Rocha haya viajado a La Haya;https://www.paginasiete.bo/nacional/2022/3/31/senado-niega-que-trinidad-rocha-haya-viajado-la-haya-327368.html
Nacional;Del Castillo: No podemos renunciar a un cargo que nos ha confiado nuestro Presidente;https://www.paginasiete.bo/nacional/2022/3/31/del-castillo-no-podemos-renunciar-un-cargo-que-nos-ha-confiado-nuestro-presidente-327363.html
Nacional;Con ceremonia y marcha, Patty se postula a defensora del Pueblo;https://www.paginasiete.bo/nacional/2022/3/31/con-ceremonia-marcha-patty-se-postula-defensora-del-pueblo-327360.html
Nacional;Lima: En este momento no tenemos condiciones para la cumbre judicial;https://www.paginasiete.bo/nacional/2022/3/31/lima-en-este-momento-no-tenemos-condiciones-para-la-cumbre-judicial-327359.html
Nacional;Copa dice que Quintana opera desde Senkata y que Wilma Alanoca negó condecoración para Arce;https://www.paginasiete.bo/nacional/2022/3/31/copa-dice-que-quintana-opera-desde-senkata-que-wilma-alanoca-nego-condecoracion-para-arce-327357.html
Nacional;El MAS oficializa ante el TSE su pedido de retiro de curul del diputado Rolando Cuéllar;https://www.paginasiete.bo/nacional/2022/3/31/el-mas-oficializa-ante-el-tse-su-pedido-de-retiro-de-curul-del-diputado-rolando-cuellar-327346.html
Nacional;Bolivia llega a la CIJ y en Potosí advierten con no acatar el fallo;https://www.paginasiete.bo/nacional/2022/3/31/bolivia-llega-la-cij-en-potosi-advierten-con-no-acatar-el-fallo-327312.html
Nacional;Evismo envalentonado dice que acabará con las voces disidentes;https://www.paginasiete.bo/nacional/2022/3/31/evismo-envalentonado-dice-que-acabara-con-las-voces-disidentes-327314.html
Nacional;Oposición ve gasto inútil en viaje de dos masistas a CIJ;https://www.paginasiete.bo/nacional/2022/3/31/oposicion-ve-gasto-inutil-en-viaje-de-dos-masistas-cij-327313.html
Nacional;Carvajal: La paralela de DDHH trabaja con el MAS;https://www.paginasiete.bo/nacional/2022/3/31/carvajal-la-paralela-de-ddhh-trabaja-con-el-mas-327315.html
Nacional;Comisión del Legislativo cita a Camacho para el 7 de abril por el caso del decreto;https://www.paginasiete.bo/nacional/2022/3/30/comision-del-legislativo-cita-camacho-para-el-de-abril-por-el-caso-del-decreto-327285.html
Nacional;Añez: El público ha vuelto a los estadios, pero el Órgano Judicial se niega a instalar audiencias presenciales;https://www.paginasiete.bo/nacional/2022/3/30/anez-el-publico-ha-vuelto-los-estadios-pero-el-organo-judicial-se-niega-instalar-audiencias-presenciales-327277.html
Nacional;Amparo Carvajal solicita que se incluya a la Apdhb como veedora en la selección de Defensor;https://www.paginasiete.bo/nacional/2022/3/30/amparo-carvajal-solicita-que-se-incluya-la-apdhb-como-veedora-en-la-seleccion-de-defensor-327271.html
Nacional;Justicia suspende audiencia de acción de libertad de Añez por problemas en el internet;https://www.paginasiete.bo/nacional/2022/3/30/justicia-suspende-audiencia-de-accion-de-libertad-de-anez-por-problemas-en-el-internet-327268.html
